iter	Logloss
0	0.608894414
1	0.5613659418
2	0.538329649
3	0.5165099823
4	0.5008216568
5	0.4931984291
6	0.4846351781
7	0.4767905893
8	0.4703733309
9	0.4659163985
10	0.4597902026
11	0.4563166088
12	0.4502852685
13	0.4439126189
14	0.4387564344
15	0.433875197
16	0.4298138421
17	0.4242648777
18	0.4188872066
19	0.415784986
20	0.4124397132
21	0.4092619554
22	0.4060514278
23	0.4030144181
24	0.3979334074
25	0.3963643856
26	0.3925390543
27	0.3884675854
28	0.3838856752
29	0.3783523229
30	0.3745134387
31	0.3709669265
32	0.3679557102
33	0.3645038832
34	0.3603420694
35	0.3561607859
36	0.3516136133
37	0.3474469008
38	0.3434453834
39	0.3397234446
40	0.3356787951
41	0.331214214
42	0.3268307466
43	0.3243360008
44	0.3218327164
45	0.3179392837
46	0.3141522141
47	0.3109668741
48	0.3074797864
49	0.3037663966
50	0.3002542774
51	0.2966879459
52	0.2928751442
53	0.2902970174
54	0.2868208225
55	0.2838768696
56	0.280877975
57	0.278011492
58	0.2753954249
59	0.2725083452
60	0.269257579
61	0.2660690418
62	0.2628251499
63	0.2601295256
64	0.2579208731
65	0.2549705013
66	0.2522107948
67	0.2495614057
68	0.2475570035
69	0.2440111001
70	0.2418641172
71	0.2396251508
72	0.237521483
73	0.2351045526
74	0.233388719
75	0.2306493895
76	0.2282539817
77	0.2259634548
78	0.2231169457
79	0.2208603837
80	0.2185854494
81	0.2164903034
82	0.2140577246
83	0.2127018919
84	0.2113189536
85	0.2088997329
86	0.2065649007
87	0.2043474153
88	0.202476997
89	0.200235124
90	0.1991782905
91	0.1969822042
92	0.1951919306
93	0.1933821877
94	0.1912620229
95	0.1888915721
96	0.187100769
97	0.1852940883
98	0.1833629805
99	0.1813024648
100	0.1799412559
101	0.1783580368
102	0.1766571104
103	0.1748295889
104	0.1730098717
105	0.1710958943
106	0.1691578973
107	0.1670813895
108	0.1653417212
109	0.1643249639
110	0.1627809345
111	0.1612208206
112	0.1590849451
113	0.1573540221
114	0.1560482921
115	0.1549540684
116	0.1536559125
117	0.1522108998
118	0.1508479347
119	0.1491054235
120	0.1477479278
121	0.1465259675
122	0.1453946704
123	0.1443909689
124	0.1428625964
125	0.1410369805
126	0.1397426001
127	0.1388115178
128	0.1373088663
129	0.1357237534
130	0.1342223801
131	0.1327324831
132	0.1315338029
133	0.1305818719
134	0.1289778662
135	0.1274430652
136	0.1260166171
137	0.1247881044
138	0.1239583632
139	0.1228274366
140	0.1211777697
141	0.1199667147
142	0.1191060929
143	0.1179118329
144	0.1165169415
145	0.1150657591
146	0.1145089939
147	0.1135809878
148	0.112694913
149	0.1116469463
150	0.1108015261
151	0.1095491053
152	0.1085837125
153	0.1075123515
154	0.1064155538
155	0.105424141
156	0.1045882834
157	0.1033242307
158	0.1023844369
159	0.1014264674
160	0.1005928129
161	0.09985824379
162	0.09933329877
163	0.09836369701
164	0.09763641894
165	0.09660088453
166	0.09567001121
167	0.09471836363
168	0.09376588033
169	0.0928064009
170	0.09188546219
171	0.09120498167
172	0.09008927519
173	0.08908728878
174	0.08819260232
175	0.08719250939
176	0.08631126522
177	0.08539620624
178	0.08464168826
179	0.08393318114
180	0.08307935132
181	0.08231343141
182	0.08163754388
183	0.08099315222
184	0.08033830899
185	0.07953071382
186	0.07892530221
187	0.07827704694
188	0.0777883573
189	0.07715956738
190	0.07668520079
191	0.07605276582
192	0.07527537303
193	0.07473346995
194	0.07407248212
195	0.07314461646
196	0.07210810289
197	0.07149026791
198	0.07076208264
199	0.07031941977
200	0.06968676556
201	0.06917823673
202	0.0685289363
203	0.06819832057
204	0.06772370722
205	0.06718967554
206	0.06659229932
207	0.06629104649
208	0.06580501368
209	0.06530748482
210	0.06459298389
211	0.06400878942
212	0.06334529459
